Entry	Reviewed	Gene Names	Proteomes	Gene Ontology (cellular component)
A8MYU2	reviewed	KCNU1 KCNMA3 KCNMC1 SLO3	UP000005640: Chromosome 8	membrane [GO:0016020]; monoatomic ion channel complex [GO:0034702]; plasma membrane [GO:0005886]; sperm flagellum [GO:0036126]
A8MZ59	reviewed	LEUTX	UP000005640: Chromosome 19	chromatin [GO:0000785]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
A8TX70	reviewed	COL6A5 COL29A1 VWA4	UP000005640: Chromosome 3	collagen trimer [GO:0005581]; collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]
A9QM74	reviewed	KPNA7	UP000005640: Chromosome 7	cytosol [GO:0005829]; female germ cell nucleus [GO:0001674]; NLS-dependent protein nuclear import complex [GO:0042564]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]
A9UHW6	reviewed	MIF4GD SLIP1	UP000005640: Chromosome 17	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; histone mRNA stem-loop binding complex [GO:0062073]; nucleolus [GO:0005730]
A9YTQ3	reviewed	AHRR BHLHE77 KIAA1234	UP000005640: Chromosome 5	aryl hydrocarbon receptor complex [GO:0034751]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]
B0I1T2	reviewed	MYO1G HA2	UP000005640: Chromosome 7	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; filopodium [GO:0030175]; lamellipodium [GO:0030027]; leading edge membrane [GO:0031256]; membrane [GO:0016020]; microvillus [GO:0005902]; myosin complex [GO:0016459]; nucleoplasm [GO:0005654]; phagocytic cup [GO:0001891]; plasma membrane [GO:0005886]
B0L3A2	reviewed	FBXW7-AS1 DEAR DEspR	UP000005640: Unplaced	plasma membrane [GO:0005886]
B0YJ81	reviewed	HACD1 PTPLA	UP000005640: Chromosome 10	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]
B1AK53	reviewed	ESPN DFNB36 LP2654	UP000005640: Chromosome 1	brush border [GO:0005903]; cytoplasm [GO:0005737]; filamentous actin [GO:0031941]; microvillus [GO:0005902]; stereocilium [GO:0032420]; stereocilium tip [GO:0032426]
B2RTY4	reviewed	MYO9A MYR7	UP000005640: Chromosome 15	actin filament [GO:0005884]; axonal growth cone [GO:0044295]; cytosol [GO:0005829]; membrane [GO:0016020]; synapse [GO:0045202]; unconventional myosin complex [GO:0016461]
B2RUY7	reviewed	VWC2L	UP000005640: Chromosome 2	AMPA glutamate receptor complex [GO:0032281]; extracellular space [GO:0005615]; synapse [GO:0045202]
B2RUZ4	reviewed	SMIM1	UP000005640: Chromosome 1	cell surface [GO:0009986]; plasma membrane [GO:0005886]
B2RXF5	reviewed	ZBTB42	UP000005640: Chromosome 14	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
B2RXH2	reviewed	KDM4E KDM4DL	UP000005640: Chromosome 11	chromatin [GO:0000785]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
B3KU38	reviewed	IQCJ-SCHIP1	UP000005640: Chromosome 3	axon initial segment [GO:0043194]; cell junction [GO:0030054]; cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
B6A8C7	reviewed	TARM1	UP000005640: Chromosome 19	plasma membrane [GO:0005886]; specific granule membrane [GO:0035579]; tertiary granule membrane [GO:0070821]
B7U540	reviewed	KCNJ18	UP000005640: Chromosome 17	monoatomic ion channel complex [GO:0034702]; plasma membrane [GO:0005886]
B7ZAQ6	reviewed	GPR89A GPHRA GPR89 SH120 CGI-13 UNQ192/PRO218	UP000005640: Chromosome 1	Golgi cisterna membrane [GO:0032580]; Golgi membrane [GO:0000139]; Golgi-associated vesicle membrane [GO:0030660]; monoatomic ion channel complex [GO:0034702]
C4AMC7	reviewed	WASH3P FAM39DP	UP000005640: Unplaced	autophagosome [GO:0005776]; centriole [GO:0005814]; cytosol [GO:0005829]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; filopodium [GO:0030175]; lamellipodium [GO:0030027]; recycling endosome [GO:0055037]; recycling endosome membrane [GO:0055038]; WASH complex [GO:0071203]
C9JE40	reviewed	PATL2	UP000005640: Chromosome 15	cytoplasm [GO:0005737]; nucleus [GO:0005634]; P-body [GO:0000932]
C9JLW8	reviewed	MCRIP1 FAM195B GRAN2	UP000005640: Chromosome 17	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; nucleus [GO:0005634]
C9JR72	reviewed	KBTBD13	UP000005640: Chromosome 15	cytosol [GO:0005829]
C9JRZ8	reviewed	AKR1B15	UP000005640: Chromosome 7	cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
D3W0D1	reviewed	KLRF2	UP000005640: Chromosome 12	plasma membrane [GO:0005886]
D6RGH6	reviewed	MCIDAS IDAS MCI MCIN	UP000005640: Chromosome 5	nuclear body [GO:0016604]; nucleus [GO:0005634]
E0CX11	reviewed	STMP1 C7orf73	UP000005640: Chromosome 7	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial outer membrane [GO:0005741]; mitochondrial respirasome [GO:0005746]
F5H094	reviewed	SLCO1B3-SLCO1B7	UP000005640: Chromosome 12	plasma membrane [GO:0005886]; smooth endoplasmic reticulum membrane [GO:0030868]
G2XKQ0	reviewed	SUMO1P1 SUMO5 UBL2 UBL6	UP000005640: Unplaced	nucleus [GO:0005634]
H0YL14	reviewed	TMEM250 C9orf69	UP000005640: Chromosome 9	cell division site [GO:0032153]; cytoplasm [GO:0005737]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; septin complex [GO:0031105]; septin ring [GO:0005940]
H3BV60	reviewed	TGFBR3L	UP000005640: Chromosome 19	plasma membrane [GO:0005886]
K7EJ46	reviewed	SMIM22 CASIMO1	UP000005640: Chromosome 16	late endosome [GO:0005770]; membrane [GO:0016020]
K9M1U5	reviewed	IFNL4	UP000005640: Unplaced	cytoplasm [GO:0005737]; extracellular space [GO:0005615]
L0R8F8	reviewed	MIEF1 AltMiD51 AltMIEF1	UP000005640: Chromosome 22	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
M0R2J8	reviewed	DCDC1 DCDC5 KIAA1493	UP000005640: Chromosome 11	cytoplasm [GO:0005737]; Flemming body [GO:0090543]; microtubule [GO:0005874]; midbody [GO:0030496]; mitotic spindle [GO:0072686]
O00115	reviewed	DNASE2 DNASE2A DNL2	UP000005640: Chromosome 19	extracellular exosome [GO:0070062]; lysosome [GO:0005764]
O00116	reviewed	AGPS AAG5	UP000005640: Chromosome 2	cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrion [GO:0005739]; peroxisomal matrix [GO:0005782]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]
O00124	reviewed	UBXN8 D8S2298E REP8 UBXD6	UP000005640: Chromosome 8	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]
O00139	reviewed	KIF2A KIF2 KNS2	UP000005640: Chromosome 5	centriolar subdistal appendage [GO:0120103]; centriole [GO:0005814]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinesin complex [GO:0005871]; membrane [GO:0016020]; microtubule [GO:0005874]; nuclear body [GO:0016604]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; spindle [GO:0005819]; spindle pole [GO:0000922]
O00141	reviewed	SGK1 SGK	UP000005640: Chromosome 6	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; mitochondrion [GO:0005739]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
O00142	reviewed	TK2	UP000005640: Chromosome 16	cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
O00144	reviewed	FZD9 FZD3	UP000005640: Chromosome 7	cell surface [GO:0009986]; cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; filopodium membrane [GO:0031527]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; mitochondrial membrane [GO:0031966]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]
O00148	reviewed	DDX39A DDX39	UP000005640: Chromosome 19	cytoplasm [GO:0005737]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
O00151	reviewed	PDLIM1 CLIM1 CLP36	UP000005640: Chromosome 10	adherens junction [GO:0005912]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; filamentous actin [GO:0031941]; focal adhesion [GO:0005925]; stress fiber [GO:0001725]; transcription regulator complex [GO:0005667]; Z disc [GO:0030018]
O00154	reviewed	ACOT7 BACH	UP000005640: Chromosome 1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]
O00155	reviewed	GPR25	UP000005640: Chromosome 1	plasma membrane [GO:0005886]
O00159	reviewed	MYO1C	UP000005640: Chromosome 17	actin cytoskeleton [GO:0015629]; B-WICH complex [GO:0110016]; basal plasma membrane [GO:0009925]; brush border [GO:0005903]; cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; filamentous actin [GO:0031941]; lateral plasma membrane [GO:0016328]; membrane [GO:0016020]; membrane raft [GO:0045121]; microvillus [GO:0005902]; nuclear body [GO:0016604]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]; stereocilium membrane [GO:0060171]; unconventional myosin complex [GO:0016461]
O00160	reviewed	MYO1F	UP000005640: Chromosome 19	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; microvillus [GO:0005902]; plasma membrane [GO:0005886]; unconventional myosin complex [GO:0016461]
O00161	reviewed	SNAP23	UP000005640: Chromosome 15	adherens junction [GO:0005912]; azurophil granule [GO:0042582]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; mitochondrion [GO:0005739]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; SNARE complex [GO:0031201]; specific granule [GO:0042581]; specific granule membrane [GO:0035579]; synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex [GO:0070032]; tertiary granule membrane [GO:0070821]
O00165	reviewed	HAX1 HS1BP1	UP000005640: Chromosome 1	actin cytoskeleton [GO:0015629]; apical plasma membrane [GO:0016324]; cell cortex [GO:0005938]; clathrin-coated vesicle [GO:0030136]; endoplasmic reticulum [GO:0005783]; lamellipodium [GO:0030027]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; P-body [GO:0000932]; sarcoplasmic reticulum [GO:0016529]; transcription regulator complex [GO:0005667]
O00167	reviewed	EYA2 EAB1	UP000005640: Chromosome 20	cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
O00168	reviewed	FXYD1 PLM	UP000005640: Chromosome 19	apical plasma membrane [GO:0016324]; caveola [GO:0005901]; intercalated disc [GO:0014704]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; sodium:potassium-exchanging ATPase complex [GO:0005890]; T-tubule [GO:0030315]
O00170	reviewed	AIP XAP2	UP000005640: Chromosome 11	aryl hydrocarbon receptor complex [GO:0034751]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]
O00175	reviewed	CCL24 MPIF2 SCYA24	UP000005640: Chromosome 7	extracellular space [GO:0005615]
O00178	reviewed	GTPBP1	UP000005640: Chromosome 22	cytoplasmic exosome (RNase complex) [GO:0000177]; cytosol [GO:0005829]; membrane [GO:0016020]
O00180	reviewed	KCNK1 HOHO1 KCNO1 TWIK1	UP000005640: Chromosome 1	apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; dendrite [GO:0030425]; intracellular membrane-bounded organelle [GO:0043231]; inward rectifier potassium channel complex [GO:1902937]; membrane [GO:0016020]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; potassium channel complex [GO:0034705]; recycling endosome [GO:0055037]; synaptic membrane [GO:0097060]; voltage-gated potassium channel complex [GO:0008076]
O00182	reviewed	LGALS9	UP000005640: Chromosome 17	collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; nucleus [GO:0005634]
O00186	reviewed	STXBP3	UP000005640: Chromosome 1	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; platelet alpha granule [GO:0031091]; presynapse [GO:0098793]; secretory granule [GO:0030141]; specific granule [GO:0042581]; tertiary granule [GO:0070820]
O00187	reviewed	MASP2	UP000005640: Chromosome 1	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
O00189	reviewed	AP4M1 MUARP2	UP000005640: Chromosome 7	AP-4 adaptor complex [GO:0030124]; clathrin adaptor complex [GO:0030131]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; early endosome [GO:0005769]; endosome lumen [GO:0031904]; extracellular exosome [GO:0070062]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588]
O00192	reviewed	ARVCF	UP000005640: Chromosome 22	adherens junction [GO:0005912]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
O00194	reviewed	RAB27B	UP000005640: Chromosome 18	apical plasma membrane [GO:0016324]; axon cytoplasm [GO:1904115]; exocytic vesicle [GO:0070382]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; Golgi stack [GO:0005795]; late endosome [GO:0005770]; melanosome [GO:0042470]; multivesicular body membrane [GO:0032585]; plasma membrane [GO:0005886]; platelet dense granule membrane [GO:0031088]; secretory granule [GO:0030141]; synaptic vesicle membrane [GO:0030672]; trans-Golgi network transport vesicle [GO:0030140]; zymogen granule membrane [GO:0042589]
O00198	reviewed	HRK BID3	UP000005640: Chromosome 12	membrane [GO:0016020]; mitochondrion [GO:0005739]
O00203	reviewed	AP3B1 ADTB3A	UP000005640: Chromosome 5	AP-3 adaptor complex [GO:0030123]; axon cytoplasm [GO:1904115]; clathrin adaptor complex [GO:0030131]; clathrin-coated vesicle membrane [GO:0030665]; early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; microvesicle [GO:1990742]; mitochondrion [GO:0005739]
O00204	reviewed	SULT2B1 HSST2	UP000005640: Chromosome 19	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634]
O00206	reviewed	TLR4	UP000005640: Chromosome 9	cell surface [GO:0009986]; cytoplasm [GO:0005737]; early endosome [GO:0005769]; endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; lipopolysaccharide receptor complex [GO:0046696]; perinuclear region of cytoplasm [GO:0048471]; phagocytic cup [GO:0001891]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; ruffle [GO:0001726]
O00212	reviewed	RHOD ARHD	UP000005640: Chromosome 11	cytosol [GO:0005829]; early endosome [GO:0005769]; endosome membrane [GO:0010008]; Golgi membrane [GO:0000139]; mitochondrial outer membrane [GO:0005741]; plasma membrane [GO:0005886]
O00213	reviewed	APBB1 FE65 RIR	UP000005640: Chromosome 11	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; synapse [GO:0045202]
O00214	reviewed	LGALS8	UP000005640: Chromosome 1	cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; extracellular space [GO:0005615]; membrane [GO:0016020]
O00217	reviewed	NDUFS8	UP000005640: Chromosome 11	mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739]
O00219	reviewed	HAS3	UP000005640: Chromosome 16	early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; hyaluranon cable [GO:0036117]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
O00220	reviewed	TNFRSF10A APO2 DR4 TRAILR1	UP000005640: Chromosome 8	cell surface [GO:0009986]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]
O00221	reviewed	NFKBIE IKBE	UP000005640: Chromosome 6	cytoplasm [GO:0005737]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; nucleoplasm [GO:0005654]
O00222	reviewed	GRM8 GPRC1H MGLUR8	UP000005640: Chromosome 7	plasma membrane [GO:0005886]
O00231	reviewed	PSMD11	UP000005640: Chromosome 17	cytosol [GO:0005829]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle, lid subcomplex [GO:0008541]; secretory granule lumen [GO:0034774]
O00232	reviewed	PSMD12	UP000005640: Chromosome 17	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle [GO:0005838]; proteasome regulatory particle, lid subcomplex [GO:0008541]; secretory granule lumen [GO:0034774]
O00233	reviewed	PSMD9	UP000005640: Chromosome 12	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome regulatory particle [GO:0005838]
O00237	reviewed	RNF103 ZFP103	UP000005640: Chromosome 2	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]
O00238	reviewed	BMPR1B	UP000005640: Chromosome 4	dendrite [GO:0030425]; HFE-transferrin receptor complex [GO:1990712]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]
O00241	reviewed	SIRPB1	UP000005640: Chromosome 20	cell surface [GO:0009986]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]
O00244	reviewed	ATOX1 HAH1	UP000005640: Chromosome 5	cytosol [GO:0005829]
O00253	reviewed	AGRP AGRT ART	UP000005640: Chromosome 16	extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; neuronal cell body [GO:0043025]
O00254	reviewed	F2RL2 PAR3	UP000005640: Chromosome 5	apical plasma membrane [GO:0016324]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]
O00255	reviewed	MEN1 SCG2	UP000005640: Chromosome 11	chromatin [GO:0000785]; chromosome, telomeric region [GO:0000781]; cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum lumen [GO:0005788]; histone methyltransferase complex [GO:0035097]; MLL1 complex [GO:0071339]; MLL1/2 complex [GO:0044665]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; transcription repressor complex [GO:0017053]
O00257	reviewed	CBX4	UP000005640: Chromosome 17	nuclear body [GO:0016604]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PcG protein complex [GO:0031519]; PRC1 complex [GO:0035102]
O00258	reviewed	GET1 CHD5 WRB	UP000005640: Chromosome 21	endoplasmic reticulum membrane [GO:0005789]; GET complex [GO:0043529]; nucleus [GO:0005634]
O00264	reviewed	PGRMC1 HPR6.6 PGRMC	UP000005640: Chromosome X	cell body [GO:0044297]; endomembrane system [GO:0012505]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; smooth endoplasmic reticulum membrane [GO:0030868]; specific granule membrane [GO:0035579]; synapse [GO:0045202]
O00267	reviewed	SUPT5H SPT5 SPT5H	UP000005640: Chromosome 19	DSIF complex [GO:0032044]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
O00268	reviewed	TAF4 TAF2C TAF2C1 TAF4A TAFII130 TAFII135	UP000005640: Chromosome 20	chromatin [GO:0000785]; cytosol [GO:0005829]; male germ cell nucleus [GO:0001673]; MLL1 complex [GO:0071339]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; transcription factor TFIID complex [GO:0005669]; transcription factor TFTC complex [GO:0033276]
O00270	reviewed	GPR31	UP000005640: Chromosome 6	plasma membrane [GO:0005886]
O00273	reviewed	DFFA DFF1 DFF45 H13	UP000005640: Chromosome 1	chromatin [GO:0000785]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]
O00287	reviewed	RFXAP	UP000005640: Chromosome 13	nuclear speck [GO:0016607]; nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]
